Epoch 60, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 61, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700319647789, Val Accuracy: 99.4673080444336
Epoch 62, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 63, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 64, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 65, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 66, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 67, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 68, Loss: 1.8393466472625732, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 69, Loss: 1.8393465280532837, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 70, Loss: 1.8393465280532837, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 71, Loss: 1.8393465280532837, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 72, Loss: 1.8393465280532837, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 73, Loss: 1.8393465280532837, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 74, Loss: 1.8393465280532837, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 75, Loss: 1.8393465280532837, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 76, Loss: 1.8393465280532837, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 77, Loss: 1.8393465280532837, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 78, Loss: 1.8393465280532837, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 79, Loss: 1.8393465280532837, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
Epoch 80, Loss: 1.8393465280532837, Accuracy: 99.46173095703125, Val Loss: 0.0821700245141983, Val Accuracy: 99.4673080444336
2/2 [==============================] - 0s 67ms/step
D:\tools\Anaconda3\envs\LPR_Tensorflow\lib\site-packages\sklearn\metrics\_classification.py:1344: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 due to no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
[I 2023-06-06 14:03:59,413] Trial 1 finished with value: 0.0 and parameters: {'learning_rate': 0.005238840564326987, 'depth': 3, 'filters': 4, 'batch_size': 4, 'num_epochs': 80}. Best is trial 0 with value: 0.0.
Epoch 1, Loss: 12.607948303222656, Accuracy: 91.26957702636719, Val Loss: 0.02252395823597908, Val Accuracy: 99.54995727539062
Epoch 2, Loss: 0.6341303586959839, Accuracy: 99.34158325195312, Val Loss: 0.029629221186041832, Val Accuracy: 99.48021697998047
Epoch 3, Loss: 0.5389844179153442, Accuracy: 99.46678161621094, Val Loss: 0.01887945458292961, Val Accuracy: 99.50250244140625
